bob
Mon Oct 10 16:44:17 2022    example.stats

         973 function calls (969 primitive calls) in 0.001 seconds

   Ordered by: cumulative time
   List reduced from 229 to 70 due to restriction <70>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/urls.py:595(url_unparse)
      169    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        7    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/_internal.py:511(<genexpr>)
        4    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/datastructures.py:1150(set)
    27/23    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {built-in method fromtimestamp}
        1    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/wrappers/response.py:573(get_app_iter)
        5    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/_internal.py:505(decode_part)
        1    0.000    0.000    0.000    0.000 {method 'shutdown' of '_socket.socket' objects}
        4    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/urls.py:450(_url_unquote_legacy)
        1    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/serving.py:390(version_string)
        3    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/local.py:428(__get__)
        5    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/_internal.py:82(_check_str_tuple)
        1    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/flask/app.py:1633(make_response)
        1    0.000    0.000    0.000    0.000 /nix/store/2vm88xw7513h9pyjyafw32cps51b0ia1-python3-3.8.12/lib/python3.8/email/utils.py:155(format_datetime)
        1    0.000    0.000    0.000    0.000 /nix/store/2vm88xw7513h9pyjyafw32cps51b0ia1-python3-3.8.12/lib/python3.8/http/server.py:583(version_string)
        1    0.000    0.000    0.000    0.000 /nix/store/2vm88xw7513h9pyjyafw32cps51b0ia1-python3-3.8.12/lib/python3.8/socketserver.py:511(close_request)
        1    0.000    0.000    0.000    0.000 /home/runner/krakenenginev4/venv/lib/python3.8/site-packages/werkzeug/wsgi.py:438(__init__)
